user_id,product_id,interaction_type
80,349,view
41,482,click
4,407,view
22,489,view
162,221,wishlist
295,465,view
262,32,view
296,64,view
217,453,view
258,411,purchase
90,453,view
266,453,click
7,7,view
52,32,click
133,64,view
138,453,click
188,64,view
215,404,view
206,32,view
68,343,click
52,323,click
285,54,view
75,278,click
243,80,view
256,64,purchase
265,173,view
250,32,view
291,64,view
84,64,click
244,172,view
172,32,view
286,182,view
11,54,view
102,228,click
276,64,click
182,32,view
229,180,view
147,453,wishlist
86,293,purchase
216,336,view
37,64,view
161,32,view
137,189,view
228,349,purchase
267,430,view
95,381,view
121,413,purchase
41,64,view
49,64,purchase
281,64,click
269,407,view
135,43,view
200,32,view
146,54,view
270,253,view
183,308,view
244,453,purchase
140,400,view
277,64,view
289,54,click
274,32,view
277,64,view
158,411,view
156,64,view
70,32,view
5,441,view
245,32,click
150,189,click
281,411,view
288,54,view
200,478,view
41,54,view
140,32,click
138,54,purchase
94,64,view
234,43,view
252,64,view
26,470,view
53,32,view
225,13,view
78,64,view
216,32,click
191,453,click
170,64,click
75,64,click
37,400,view
129,196,click
63,194,click
198,107,view
18,64,click
49,173,wishlist
243,411,wishlist
166,64,click
282,173,view
153,64,purchase
112,129,view
223,32,view
142,70,view
125,64,view
244,441,view
46,32,view
174,205,wishlist
31,64,click
275,285,view
120,32,view
178,80,view
99,64,view
69,32,view
225,400,view
251,64,view
179,32,view
284,64,view
231,32,view
188,54,click
260,411,view
10,43,view
123,32,view
276,217,view
255,407,view
145,32,click
57,64,click
23,438,view
17,64,view
51,64,click
199,62,view
132,64,view
37,64,purchase
252,97,click
240,278,view
286,41,purchase
189,165,view
137,173,click
156,64,view
266,64,click
273,411,view
128,228,purchase
286,222,view
55,407,view
235,18,view
54,64,view
206,221,click
274,291,view
181,214,view
167,272,view
221,288,view
124,228,view
282,493,view
232,54,view
18,82,view
266,64,purchase
4,32,view
162,64,click
142,175,view
293,493,view
20,453,view
136,411,view
120,32,view
293,411,purchase
40,156,click
89,453,purchase
296,217,view
154,64,click
196,64,view
172,411,click
214,485,view
117,222,click
6,293,click
28,32,view
277,228,view
114,64,click
202,410,click
295,221,view
149,256,view
173,64,view
26,400,view
205,221,click
67,63,view
102,453,click
101,400,wishlist
269,32,view
221,32,purchase
46,64,view
188,411,view
13,153,view
180,43,wishlist
227,336,view
120,64,view
44,64,view
76,465,click
8,32,click
157,54,view
108,147,view
280,173,view
248,336,wishlist
10,411,purchase
270,64,view
146,64,click
139,64,click
5,64,click
185,51,view
198,64,view
51,14,view
273,64,view
235,400,click
21,32,view
171,453,click
10,411,view
155,64,wishlist
257,32,view
132,227,purchase
16,475,purchase
116,64,purchase
71,64,view
117,54,view
219,226,purchase
169,54,view
71,70,click
104,295,view
269,245,view
75,62,view
81,32,view
61,64,click
75,13,click
212,133,view
141,64,view
68,64,click
137,189,click
119,64,view
41,441,view
258,78,view
192,64,view
243,64,view
17,411,wishlist
139,48,view
104,160,view
225,52,view
167,52,purchase
219,411,view
195,323,view
293,70,view
20,173,view
22,30,view
276,411,click
286,411,click
26,64,view
156,58,view
86,54,click
28,319,purchase
238,427,view
257,64,click
280,64,view
231,64,view
104,5,view
166,319,purchase
84,323,view
59,18,click
44,173,view
262,43,view
282,411,click
172,228,click
77,64,view
27,54,view
229,32,view
68,342,view
130,64,view
256,400,view
253,64,view
244,54,view
4,32,view
286,217,view
95,64,click
19,64,view
296,253,view
45,64,view
92,64,view
294,256,view
234,222,view
19,64,view
189,269,click
219,178,view
242,64,click
141,32,view
108,404,click
56,228,wishlist
271,201,view
148,54,click
133,173,wishlist
182,480,click
255,173,click
253,192,purchase
120,268,wishlist
1,64,view
61,415,view
213,54,view
287,406,view
104,319,view
35,32,view
166,153,view
171,32,click
15,486,view
174,67,view
243,225,click
247,64,view
275,492,view
212,168,view
267,32,click
162,400,view
296,441,click
182,64,view
16,32,view
274,235,view
200,64,view
158,18,view
17,32,view
122,411,click
155,64,view
58,411,view
104,318,view
13,436,purchase
79,64,purchase
269,32,view
51,128,purchase
68,64,view
199,11,view
3,32,view
45,32,purchase
53,173,click
160,64,click
108,32,view
142,173,click
61,32,view
59,64,click
264,64,view
282,32,view
146,228,view
160,43,view
228,64,view
26,64,view
219,411,click
229,43,view
102,11,click
274,64,purchase
239,228,view
240,64,view
239,453,purchase
74,308,click
187,411,click
170,479,purchase
233,453,view
58,411,view
88,32,view
295,64,view
55,32,click
155,173,view
212,64,view
82,443,view
175,64,click
221,393,view
176,400,view
40,147,click
250,64,view
167,400,click
91,32,view
56,441,view
195,32,click
32,64,click
298,251,click
1,27,click
232,173,view
296,54,view
163,32,click
156,102,purchase
177,16,view
262,411,view
