id,title,description,category,tags,brand,price,image_url
1,Nova High-Performance Electric Toothbrush,"This Nova Electric Toothbrush offers high-performance functionality, perfect for beauty & personal care enthusiasts looking for quality.",Beauty & Personal Care,"gift-idea,eco-friendly",Nova,665.45,https://picsum.photos/seed/product1/400/400
2,Zenith Eco-Friendly Skincare Kit,Upgrade your routine with the Eco-Friendly Skincare Kit — Zenith's answer to performance and style.,Beauty & Personal Care,"bestseller,new-arrival",Zenith,204.58,https://picsum.photos/seed/product2/400/400
3,Nova Smart Fitness Tracker,"Experience smart comfort with the Nova Fitness Tracker, engineered for durability and modern living.",Sports & Outdoors,"premium-quality,top-rated,gift-idea,budget-friendly",Nova,534.44,https://picsum.photos/seed/product3/400/400
4,Drift Lightweight Bluetooth Speaker,"This Drift Bluetooth Speaker offers lightweight functionality, perfect for electronics enthusiasts looking for quality.",Electronics,"eco-friendly,gift-idea,limited-edition",Drift,100.96,https://picsum.photos/seed/product4/400/400
5,Pulse Ergonomic Self-Help Guide,"A best-selling books item, this Pulse Self-Help Guide blends ergonomic design with practical features.",Books,"bestseller,budget-friendly,new-arrival",Pulse,876.06,https://picsum.photos/seed/product5/400/400
6,Crest Professional Self-Help Guide,"A best-selling books item, this Crest Self-Help Guide blends professional design with practical features.",Books,"fast-shipping,gift-idea,new-arrival",Crest,50.77,https://picsum.photos/seed/product6/400/400
7,Zenith Compact Vacuum Cleaner,"The Compact Vacuum Cleaner from Zenith is designed for everyday use, combining reliable performance with a sleek build.",Home & Kitchen,"trending,budget-friendly,limited-edition",Zenith,154.75,https://picsum.photos/seed/product7/400/400
8,Lumen Professional Leather Wallet,"The Professional Leather Wallet from Lumen is designed for everyday use, combining reliable performance with a sleek build.",Fashion,"eco-friendly,premium-quality,gift-idea,new-arrival",Lumen,421.4,https://picsum.photos/seed/product8/400/400
9,Apex Rechargeable Wrist Watch,"This Apex Wrist Watch offers rechargeable functionality, perfect for fashion enthusiasts looking for quality.",Fashion,"gift-idea,bestseller",Apex,726.48,https://picsum.photos/seed/product9/400/400
10,Zenith Compact Biography,"A best-selling books item, this Zenith Biography blends compact design with practical features.",Books,"limited-edition,gift-idea,budget-friendly,premium-quality",Zenith,797.36,https://picsum.photos/seed/product10/400/400
11,Orbit Professional Lip Balm Set,"Experience professional comfort with the Orbit Lip Balm Set, engineered for durability and modern living.",Beauty & Personal Care,"premium-quality,fast-shipping",Orbit,243.83,https://picsum.photos/seed/product11/400/400
12,Sable Eco-Friendly Hiking Backpack,Upgrade your routine with the Eco-Friendly Hiking Backpack — Sable's answer to performance and style.,Sports & Outdoors,"gift-idea,eco-friendly,budget-friendly",Sable,90.9,https://picsum.photos/seed/product12/400/400
13,Orbit Rechargeable Smartwatch,"Experience rechargeable comfort with the Orbit Smartwatch, engineered for durability and modern living.",Electronics,"top-rated,new-arrival,fast-shipping,gift-idea",Orbit,540.33,https://picsum.photos/seed/product13/400/400
14,Vertex Smart Poetry Collection,"The Smart Poetry Collection from Vertex is designed for everyday use, combining reliable performance with a sleek build.",Books,"new-arrival,premium-quality,trending,top-rated",Vertex,580.45,https://picsum.photos/seed/product14/400/400
15,Aurora Wireless Webcam,Upgrade your routine with the Wireless Webcam — Aurora's answer to performance and style.,Electronics,"trending,premium-quality",Aurora,688.14,https://picsum.photos/seed/product15/400/400
16,Quartz Rechargeable Dumbbell Set,"This Quartz Dumbbell Set offers rechargeable functionality, perfect for sports & outdoors enthusiasts looking for quality.",Sports & Outdoors,"premium-quality,gift-idea,eco-friendly,budget-friendly",Quartz,688.62,https://picsum.photos/seed/product16/400/400
17,Sable Premium Badminton Racket,"A best-selling sports & outdoors item, this Sable Badminton Racket blends premium design with practical features.",Sports & Outdoors,"budget-friendly,bestseller,new-arrival",Sable,836.89,https://picsum.photos/seed/product17/400/400
18,Nova Compact Leather Wallet,"A best-selling fashion item, this Nova Leather Wallet blends compact design with practical features.",Fashion,"new-arrival,budget-friendly",Nova,736.25,https://picsum.photos/seed/product18/400/400
19,Orbit Rechargeable Camping Tent,Upgrade your routine with the Rechargeable Camping Tent — Orbit's answer to performance and style.,Sports & Outdoors,"eco-friendly,trending,top-rated,new-arrival",Orbit,836.72,https://picsum.photos/seed/product19/400/400
